"divide","$VAR$ dividido por $VAR$"
"diff","$DEGREE$ derivada de $VAR$ $BVAR$"
"factorial","factorial de $VAR$"
"and","$VAR$ *"
"or","$VAR$ *"
"inverse","inversa de $VAR$"
"power","$VAR$ elevado a $VAR$"
"partialdiff","$DEGREE$ derivada de $VAR$ $BVAR$"
"not","no $VAR$"
"lt","$VAR$ *"
"union","$VAR$ *"
"implies","$VAR$ implica $VAR$"
"abs"," valor absoluto de $VAR$"
"gt","$VAR$ *"
"intersect","$VAR$ *"
"root","ra&iacute;z$FRA$ de $VAR$"
"minus_default","menos $VAR$"
"neq","$VAR$ no es igual a $VAR$"
"setdiff","$VAR$ menos $VAR$"
"tendsto","$VAR$ tiende a $VAR$"
"minus","$VAR$ menos $VAR$"
"factorof","$VAR$ factor de $VAR$"
"sum","sumatoria $BVAR$ $RANGE$ de $VAR$ $DOMAIN$"
"plus","$VAR$ *"
"tan","tangente de $VAR$"
"sec","secante de $VAR$"
"csc","cosecante de $VAR$"
"cot","cotangente de $VAR$"
"sinh","seno hiperb&oacute;lico de $VAR$"
"cosh","coseno hiperb&oacute;lico de $VAR$"
"tanh","tangente hiperb&oacute;lica de $VAR$"
"sech","secante hiperb&oacute;lica de $VAR$"
"csch","cosecante hiperb&oacute;lica de $VAR$"
"coth","cotangente hiperb&oacute;lica de $VAR$"
"arcsin","arcoseno de $VAR$"
"arccos","arcocoseno de $VAR$"
"arctan","arcotangente de $VAR$"
"arcsec","arcosecante de $VAR$"
"arccsc","arcocosencante de $VAR$"
"arccot","arcocotangente de $VAR$"
"arcsinh","arcoseno hiperb&oacute;lico de $VAR$"
"arccosh","arcocoseno hiperb&oacute;lico de $VAR$"
"arctanh","arcotangente hiperb&oacute;lica de $VAR$"
"arcsech","arcosecante hiperb&oacute;lica de $VAR$"
"arccsch","arcocosecante hiperb&oacute;lica de $VAR$"
"arccoth","arcocotangente hiperb&oacute;lica de $VAR$"
"exp","exponencial de $VAR$"
"determinant","determinante de $VAR$"
"gcd","m&aacute;ximo comun divisor entre $VAR$ *"
"lcm","m&iacute;nimo comun multiplo entre $VAR$ *"
"max","m&aacute;ximo entre $VAR$ *"
"min","m&iacute;nimo entre $VAR$ *"
"subset","$VAR$ *"
"prsubset","$VAR$ *"
"set","conjunto $VAR$ *"
"vector","vector $VAR$ *"
"list","lista $VAR$ *"
"notin","$VAR$ no pertenece a $VAR$"
"times","$VAR$ *"
"function","$FUNCTION$ de $VAR$ *"
"in","$VAR$ pertenece a $VAR$"
"int","integral $RANGE$ de $VAR$ $BVAR$"
"cartesianproduct","$VAR$ *"
"leq","$VAR$ *"
"cos","coseno de $VAR$"
"sin","seno de $VAR$"
"log","logaritmo$FRA$ de $VAR$"
"ln","logaritmo natural de $VAR$"
"outerproduct","producto tensorial entre $VAR$ y $VAR$"
"limit","limite de $VAR$ $RANGE$ $DOMAIN$"
"approx","$VAR$ es aproximadamente $VAR$"
"forall","para todo $BVAR$ $RANGE$ $VAR$"
"compose","$VAR$ *"
"equivalent","$VAR$ es equivalente a $VAR$"
"geq","$VAR$ *"
"eq","$VAR$ *"
